date,location,product_type,current_inventory,demand_rate,lead_time,order_cost,unit_cost,quantity_sold,sales_price,total_sales
2020-01-01,Germany,1000mm BBQ,338,0.45618094841358575,40,57000.0,3080.0,2,4004.0,8008.0
2020-01-01,Germany,600mm BBQ,104,0.41239896866642073,40,33750.0,2020.0,0,2626.0,0.0
2020-01-01,Germany,Gas Rob (2 Burners),735,0.3985855638371361,30,22400.0,800.0,2,1040.0,2080.0
2020-01-01,Germany,Beer Fridge,181,0.3877138070051623,60,37000.0,2310.0,1,3003.0,3003.0
2020-01-01,Spain,1000mm BBQ,92,0.4287070798954506,40,57000.0,3080.0,0,4004.0,0.0
2020-01-01,Spain,600mm BBQ,237,0.4172888632518021,40,33750.0,2020.0,1,2626.0,2626.0
2020-01-01,Spain,Gas Rob (2 Burners),15,0.4004056999942737,30,22400.0,800.0,0,1040.0,0.0
2020-01-01,Spain,Beer Fridge,368,0.4245527907192385,60,37000.0,2310.0,1,3003.0,3003.0
2020-01-01,France,1000mm BBQ,961,0.38881775303025073,40,57000.0,3080.0,2,4004.0,8008.0
2020-01-01,France,600mm BBQ,371,0.4450552025069802,40,33750.0,2020.0,0,2626.0,0.0
2020-01-01,France,Gas Rob (2 Burners),555,0.3857119212026964,30,22400.0,800.0,2,1040.0,2080.0
2020-01-01,France,Beer Fridge,653,0.34859370933448924,60,37000.0,2310.0,2,3003.0,6006.0
2020-01-01,Italy,1000mm BBQ,833,0.40300221682734166,40,57000.0,3080.0,1,4004.0,4004.0
2020-01-01,Italy,600mm BBQ,488,0.35946030590248684,40,33750.0,2020.0,0,2626.0,0.0
2020-01-01,Italy,Gas Rob (2 Burners),884,0.43633372536991727,30,22400.0,800.0,0,1040.0,0.0
2020-01-01,Italy,Beer Fridge,347,0.3166567454327869,60,37000.0,2310.0,2,3003.0,6006.0
2020-01-01,Portugal,1000mm BBQ,610,0.43989358057496775,40,57000.0,3080.0,0,4004.0,0.0
2020-01-01,Portugal,600mm BBQ,513,0.3526053391213149,40,33750.0,2020.0,0,2626.0,0.0
2020-01-01,Portugal,Gas Rob (2 Burners),805,0.4123989785012457,30,22400.0,800.0,2,1040.0,2080.0
2020-01-01,Portugal,Beer Fridge,781,0.41837790527736773,60,37000.0,2310.0,2,3003.0,6006.0
